SO,articles
Journal of Cleaner Production,129
Journal of Sustainable Finance &amp; Investment,98
unknown source,65
Sustainability,54
Sustainable Finance,50
Business Strategy and the Environment,40
Resources Conservation and Recycling,40
Sustainable Development,26
"Advances in Finance, Accounting, and Economics",20
Ecological Economics,17
SSRN Electronic Journal,17
Islamic Finance and Sustainable Development,16
Journal of Industrial Ecology,16
Resources Policy,16
Renewable and Sustainable Energy Reviews,15
Sustainable Production and Consumption,15
Technological Forecasting and Social Change,15
Journal of Business Ethics,14
The Science of The Total Environment,14
Journal of Environmental Management,12
